,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12
0,0,0,0,0,0,0,0.273236094,0.876469929,0.134281948,0.358658156
1,0,0,0,0,0,0,0.122372245,1.071733753,0.750977168,-2.906351464
2,0,0,0,0,0,0,0,0.675197986,0.417750656,0.67589863
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,-0.193146995,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,0.131972324,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
14,0.368880975,0,0,0,0,0,0.944686467,-0.338171195,0.579086569,0.565873032
15,-0.251114005,0,0,0,0,0,0.718744833,0.986618753,0.594667296,0.504442074
16,0.205061163,0,0,0,0,0,-0.53632907,0.276659514,0.374526704,-0.184134794
17,0.013517998,0,0,0,0,0,-2.503933642,0.817390105,0.571547508,-0.119036315
18,0,0,0,0,0,0,0.807279956,0.728269693,0.411719407,0.332985517
19,0.053842875,0,0,0,0,0,-2.445854602,0,-2.673264506,0.417338475
20,-2.506786801,0,0.225650618,0.49148643,0,0,0.105373501,0.745292693,0.404180345,0.474185034
21,1.135053634,-0.011796265,0.427549899,0.487715313,0,-2.939809099,0.160619418,-2.053488791,0.812797472,0.772171029
22,0.615870845,0.112373393,-0.224616827,0.755464589,0,0,0.353271845,0.300691985,0.492136061,0.368743836
23,0.126931714,0.17723814,0.07662972,0.118831548,0,0.354393154,0.883774302,0.534007221,0.426294925,0.840020147
24,-0.805581061,0.536774164,-0.995359322,0.189111447,0.579871168,0.115835968,0.115997716,0.546023456,0.520784495,-1.656644047
25,0.010997694,-1.461060031,0,0,0.976919872,-1.934977318,0.027462593,-1.31549167,0.398149096,0.628220871
26,0.016038303,0.527507771,0.376273891,0.426006133,0.973170592,0.528445366,0.080583667,0.88047534,0.718307902,0.836352627
27,-0.167943947,0.090134051,0.155146107,-1.863061621,1.015912379,0.319916358,0.828528385,0.804372516,0.577578757,0.606215752
28,0,0.369979101,0.073424969,-0.021385423,1.062778373,0.584053102,-0.567493433,-1.409618847,-2.166136978,1.007809184
29,-0.180545471,0.325500418,0,0,1.036158489,-2.036183397,0.698912965,0.36377722,0.661011036,-0.572891907
30,0.172297201,-0.076661011,0,0,0.589619295,0.52121636,0.888732269,1.055712106,0.699711551,0.548452313
31,0.152134762,0.236543051,0,0,0.875314396,-0.370731718,0.412767448,0.246618926,-0.259759659,0.968383345
32,1.712203433,0.192064368,0,0,1.030534569,-0.148856853,0.100415534,0.494954456,-0.017001883,-0.254734553
33,0.063924094,0.197624203,0,0,0.558500275,0.951064156,0.325648887,-0.280092724,-1.054879332,-1.304562133
34,0.074005314,0.405191392,0,0,0.689350131,0.480622713,0.739993262,0.556036986,-1.926394826,-1.134022456
35,-0.036888098,0.369979101,0,0,0.459144367,0,-0.000160366,0.868459105,0.687649053,0.781339828
36,0.764568829,0.414457784,0,0,0.591868863,0.293780722,1.078551572,-0.061797782,0.523297515,0.648392231
37,0,-4.224298235,0,0,0.720844079,0.81148874,1.084926101,0.609108692,0.495151686,0.023996962
38,-0.00664444,0.499708594,0,0,0.597492782,-0.250619009,0.794530898,-0.556466137,0.63688604,0.476018794
39,0.290751526,0.290288127,0.220843492,0.654672928,0,0.007400884,-1.295606284,-0.423286195,0.7057428,0.71440759
40,0.459611948,0.117933229,0.118291476,0.302930602,-0.726002898,0,-0.139691719,0.426862456,0.704234988,0.577792472
41,-3.038571113,0.138319292,0.525294789,0.382124049,0.585120159,0.60740835,0.171951913,0.467917927,0.382065765,0.657561031
42,0.499936825,0.160558633,0.321793133,-2.849037188,0.687475491,-0.207244975,0.973017706,0.664183104,0.552951156,0.483353834
43,-0.906393253,0.20133076,0.39710477,0.772263199,0.537504309,-0.301222048,0.873858368,0.07138216,0.25490693,0.561288632
44,0,0.540480721,0.132712853,0.106146883,0.941676644,0.630763599,0.57992176,-0.151919547,0.751479772,-1.983970201
45,0.200020554,0.260635671,0.097460598,0.310130006,0.521382407,0.663572163,0.405684638,0.580069457,0.649451142,0.68781807
46,-0.082253584,0.123493064,0.243276746,0.399951146,0.989667422,-0.027075912,0.625251743,0.242613514,-2.309379144,0.476018794
47,-4.326446865,0.277315177,0,0,0.588119583,0.522328515,0.157078013,-0.292108959,0.594667296,0.564956152
48,-0.062091146,0.603492189,0.224048243,0.658444045,0,-0.430231995,0.582754884,0.128459278,0.636383436,0.782256708
49,0.205061163,0.210597152,0.151941356,0.376981618,0.57574696,0,0.292359681,0.963587635,0.796211537,0.753833429
50,0,0.631291366,0.254493372,0.138029959,0.545377796,-0.064889172,0.149995203,0.116443043,0.376034516,0.662145431
51,0,0.127199621,0.413128522,0.281675217,0.583620448,0.715843435,-0.009368018,0.365779926,0.364977226,-0.810363822
52,0.477254081,0.229129937,-4.299457087,-2.726647314,0.631986154,0.412225199,-1.865064195,-1.609889436,-0.087366456,-0.889215501
53,0.106769276,0.119786507,0.084641596,-0.243195642,0.465143214,0.34049122,0.229322673,1.007647164,0.384578786,-0.053937836
54,-0.488022657,0.323647139,0.491644909,0.410578838,-0.086000879,0,0.742118105,0.626131692,0.155893924,0.332068637
55,0.159695677,0.486735645,0.132712853,-1.8044379,0.647733128,0.355505309,-0.575992805,0.693222339,0.544909491,-1.001074859
56,1.699601909,0.768433973,0.318588382,0.384523851,0.596367998,0.352724922,0.65216642,-0.429294313,0.576573549,0.474185034
57,-0.120058156,0.149438963,0.549330418,0.383152536,0,0.244289837,-0.171564364,0.419852985,0.051352273,-1.47235117
58,0.278150002,0.63870448,0,-2.874063688,0.604616413,0.547351996,-2.208580472,-1.962365673,0.156899132,-1.361408692
59,0,0.190211089,0.075027344,0.301902115,0.499261658,-0.039865691,-1.833899832,-0.482366019,-0.799053849,-1.056087658
60,0.076525618,0.451523354,0.23846962,0.378695762,0.670228805,0.308794811,0.777532154,0.318716338,0.402169929,0.659394791
61,0.260507869,0.269902063,0.187193612,0.48291571,0.500386442,0.554024924,0,0,0,0
62,-0.271276444,0.538627442,-0.114052935,0.378695762,0.455770015,0,0,-0.188969606,-1.746462562,0.200954799
63,-0.175504861,0.101253722,0.068617843,0.628617941,0,-2.306436991,0,0,0,0
64,1.833178063,0.445963518,0.284938502,-2.211032831,0.473391629,0.594618571,0,0,0,0
65,-0.971921178,0.614611859,0.222445867,0.564851788,0.943551284,-4.735938957,0,-2.851567089,-0.198944564,-3.525245453
66,0.210101773,0.340326645,0.2721195,-0.64807643,0,0.633543986,0,0,0,0
67,-0.097375413,0.483029088,0.121496227,0,0.584370303,0.051330995,-0.024241919,-0.426290254,-1.821350571,-0.808530062
68,-0.178025166,0.010443077,-0.380047227,0.361211494,0.496262234,0.2648647,0,0,0,0
69,0.404165242,0.527507771,0.20481974,0.489429457,-1.328512121,0.433912216,-3.213631188,-2.941688854,-2.661704612,0.580543112
70,0.210101773,-0.627084718,0.097460598,-0.483861445,1.048156183,0.006288729,0,0,0,0
71,-0.104936327,-0.121139695,0.368262015,0.470231046,1.009913532,0,0,0,0,0
72,0,-0.339826554,0.039775089,0.70472593,0,0.036872984,0,0,0,0
73,0,0.203184038,0.115086726,1.345815746,0.681101716,0.045214144,0,0,0,0
74,0,0.405191392,0.509271037,0.465431443,0.524006903,0.913806973,0,0,0,0
75,0,0.281021734,0.111881975,0,0.46589307,0,0,0,0,0
76,0,-0.180444606,0.148736606,0,0,0.317692048,0,0,0,0
77,0,0,0.240071995,-1.814722763,1.080025059,0.291000335,0,0,0,0
78,0,-0.21195034,0.216036366,0.68518469,0.626362234,-0.317348291,0,0,0,0
79,0,-5.679121837,0.836155588,-1.288480588,0.582120736,0.116392046,0,0,0,0
80,0,-1.312797753,0.224048243,0.408521865,0.620738315,0.198135417,0,0,0,0
81,0,0,0.337816885,0.633417544,0.899309785,0,0,0,0,0
82,0,-0.649324059,0.004522833,0.260419833,1.006914108,-0.143852157,-0.197062479,0.133466043,0.401164721,0.920705586
83,0,-0.273108529,0.30576938,0.575822309,-0.943086183,0.653006694,0,0,0,0
84,0,-0.480675718,-0.045150799,0.49148643,1.032784137,0.47506194,0,0,0,0
85,0,-0.067394619,0.167965109,0.202824598,0.99191699,0,0,0,0,0
86,1.939030865,0,0.047786965,-1.964538939,0,0,0,0,0,0
87,0,0,0.14072473,0.572394022,0,0,0,0,0,0
88,0,0,0.009329959,0.470916703,0,0,0,0,0,0
89,0,0,0.260902873,0,0,0,0,0,0,0
90,0,0,0.065413093,-0.051554355,-1.6970663,0,0,0,0,0
91,0,0,0.257698123,0.88985347,0,0,0,0,0,0
92,0,0,2.007491895,0.382809707,0,0,0,0,0,0
93,0,0,0,0,-1.420744397,0,0,0,0,0
94,0,0,0,0,-1.361130853,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,-1.39824872,0,0,0,0,0
97,0,0,0,0,-1.373503475,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,-1.404622495,0,0,0,0,0
102,0,0,0,0,-1.362630564,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,-1.413620766,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,-1.445489642,0,0,0,0,0
108,0,0,0,0,-1.337135464,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,-1.336760536,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,-1.31951385,0,0,0,0,0
119,0,0,0,0,-1.286895118,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,-1.323263129,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,-1.347633446,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,-1.468735176,0,0,0,0,0
128,0,0,0,0,-1.422244109,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,-1.405747279,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,-1.353632294,0,0,0,0,0
135,0,0,0,0,-1.386625954,0,0,0,0,0
136,0,0,0,0,-1.331136616,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,-1.361130853,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,-1.41849483,0,0,0,0,0
141,0,0,0,0,-1.391874945,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,-1.170948831,-0.129889782,0.471529294,0.926206866
146,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,-2.759442618,-2.027920853,-0.232729433
148,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,-2.053051057,-1.523696449
168,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0
179,0.043761656,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0
205,0,0,-4.12319581,0,0,0,0,0,0,0
206,0,0,-4.017439043,0.667700422,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0
