ID,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12
0,0,0,0,0,0,0,0.26581351,0.398695282,0.429621442,0.396552622
1,0,0,0,0,0,0,0.268346505,0.492795711,0.432657181,0.393286768
2,0,0,0,0,0,0,0,0.420347498,0.408285183,0.404645725
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,0.171413166,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,0.1785855,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
14,0.18213866,0,0,0,0,0,0.290045844,0.349139935,0.420830093,0.402350164
15,0.171293329,0,0,0,0,0,0.281886985,0.427484687,0.418997107,0.397687743
16,0.178562705,0,0,0,0,0,0.257872953,0.376522011,0.425295057,0.415119991
17,0.17695046,0,0,0,0,0,0.295914397,0.399615569,0.436609759,0.406114037
18,0,0,0,0,0,0,0.296999329,0.406981396,0.416091954,0.390257703
19,0.178420765,0,0,0,0,0,0.298510242,0,0.912807676,0.38993551
20,0.143413224,0,0.227614379,0.415913426,0,0,0.278550787,0.44837046,0.42172832,0.398281539
21,0.19979147,0.407456088,0.222469123,0.398790098,0,0.346102496,0.268349672,0.292279828,0.44068779,0.408446425
22,0.18637118,0.407804358,0.262015191,0.456200372,0,0,0.276739899,0.409397482,0.421559861,0.39845342
23,0.17898064,0.414565491,0.216465353,0.4137293,0,0.397111605,0.293660036,0.481486083,0.425515661,0.411755779
24,0.161376711,0.423118088,0.187840141,0.426467161,0.379754382,0.394719266,0.28013309,0.439060206,0.428006012,0.414746191
25,0.175503998,0.443872675,0,0,0.340670427,0.375607633,0.26176531,0.342394057,0.42244846,0.405568945
26,0.175464392,0.42390462,0.220439538,0.405622656,0.349474775,0.42907548,0.271633479,0.465021483,0.439093902,0.410618754
27,0.171399247,0.402706186,0.218459425,0.298171192,0.364247377,0.404841256,0.287867579,0.447672535,0.424168178,0.401231427
28,0,0.416750697,0.211770806,0.406777238,0.364875167,0.405760147,0.224112504,0.350934495,0.507379781,0.421225771
29,0.17088762,0.412173299,0,0,0.364444231,0.463573086,0.146995865,0.427532887,0.412050444,0.323781954
30,0.178337087,0.40721402,0,0,0.372814176,0.465592546,0.287346902,0.454648878,0.423519893,0.394990658
31,0.178935447,0.41469378,0,0,0.396455276,0.431565302,0.283509301,0.404829065,0.459264126,0.412782292
32,0.209993581,0.399976913,0,0,0.375539354,0.469919337,0.265271753,0.43855036,0.412850119,0.341192652
33,0.176655377,0.413195065,0,0,0.374414329,0.444154064,0.297246322,0.417906374,0.336213864,0.413795563
34,0.176487877,0.419744995,0,0,0.415414354,0.409663956,0.288190836,0.448756333,0.510774364,0.287698222
35,0.175944236,0.414733487,0,0,0.357362326,0,0.252837926,0.421616748,0.421095084,0.410324154
36,0.191968707,0.419044223,0,0,0.368333237,0.425310243,0.30189978,0.38152844,0.408819169,0.405553283
37,0,0.361532957,0,0,0.372542523,0.412780022,0.145587943,0.427257977,0.415155219,0.366884267
38,0.175401542,0.416285346,0,0,0.380424472,0.402768234,0.303378511,0.300409748,0.419186852,0.394668434
39,0.180984153,0.412146609,0.216957606,0.420734393,0,0.377991891,0.335900906,0.395367737,0.442672628,0.417344597
40,0.182862707,0.395931502,0.216102586,0.408505321,0.290355024,0,0.254517836,0.432209222,0.430462936,0.403120669
41,0.33277122,0.413580247,0.222290107,0.386347363,0.378557875,0.433115643,0.268290213,0.426396507,0.401193827,0.40136467
42,0.184314684,0.414100875,0.224084157,0.582150101,0.409838084,0.386524823,0.303588291,0.401544014,0.410658905,0.396653191
43,0.159630476,0.408879193,0.222452899,0.459706805,0.384880359,0.427622912,0.289674864,0.434113457,0.410805823,0.392762268
44,0,0.415504057,0.222348117,0.378682879,0.354827786,0.430790215,0.29342723,0.409709735,0.435278758,0.316348859
45,0.18036834,0.419547152,0.217950763,0.38508612,0.391235913,0.416895924,0.273252427,0.406784936,0.428279387,0.400844518
46,0.174502267,0.398831221,0.221143189,0.40690115,0.3546042,0.424981486,0.282298698,0.378658214,0.738711314,0.401837148
47,0.103557885,0.415757792,0,0,0.39316029,0.426488889,0.269519481,0.488703733,0.442081701,0.403873892
48,0.17278481,0.420854419,0.221809301,0.408212373,0,0.471245815,0.300654598,0.401480967,0.41752332,0.409355836
49,0.178492943,0.417544071,0.217640864,0.412340009,0.369709302,0,0.141544593,0.466659438,0.430751007,0.404017073
50,0,0.425013343,0.218184654,0.390794616,0.375995688,0.359897172,0.302741222,0.41955836,0.428052891,0.402757362
51,0,0.403948679,0.220048148,0.39286757,0.394094756,0.425157125,0.266924258,0.404473541,0.392215711,0.30616187
52,0.184235006,0.41085363,0.698813822,0.820382166,0.384011799,0.407333564,0.499896843,0.4335,0.446507946,0.302593381
53,0.177970273,0.410887842,0.216340561,0.37307856,0.346316391,0.403157757,0.273013295,0.41291548,0.392484342,0.356947143
54,0.168134109,0.40934339,0.221480273,0.386665088,0.360003135,0,0.279372054,0.392850069,0.469123207,0.386567468
55,0.178696015,0.413956204,0.21771978,0.351724865,0.365773311,0.394583811,0.245458753,0.424408206,0.450427306,0.42371476
56,0.210839786,0.429962591,0.218729028,0.408893937,0.387529454,0.403115238,0.288813723,0.356330275,0.423178484,0.394526273
57,0.172226835,0.41184187,0.223588854,0.398367983,0,0.412648006,0.304915125,0.511631071,0.415429133,0.401142449
58,0.179979481,0.429864525,0,0.573726542,0.382457808,0.405680623,0.218735892,0.323729211,0.390910909,0.39456858
59,0,0.40665532,0.217564977,0.399410029,0.365868157,0.48038722,0.388565128,0.344205079,0.525115371,0.42860168
60,0.177126849,0.416863208,0.222204532,0.405907455,0.370654855,0.405190235,0.317298273,0.431044635,0.422082211,0.404470924
61,0.180430836,0.415643257,0.22162364,0.412414475,0.374961944,0.426501127,0,0,0,0
62,0.171338178,0.420328372,0.220266519,0.408505263,0.368951613,0,0,0.380843097,0.835301429,0.381848964
63,0.172330694,0.396919705,0.219020018,0.418277328,0,0.36365836,0,0,0,0
64,0.212973508,0.415803719,0.21973211,0.487627696,0.357642358,0.427216024,0,0,0,0
65,0.159839559,0.421529945,0.220050574,0.410720013,0.363618349,0.112540193,0,0.078649897,0.322626015,0.370992534
66,0.178285881,0.420213404,0.219349458,0.38021542,0,0.417259445,0,0,0,0
67,0.172691744,0.420219389,0.214650944,0,0.39822788,0.330163402,0.266447368,0.342012667,0.794394435,0.32506407
68,0.171614736,0.403710926,0.243638228,0.429716372,0.36222746,0.378115426,0,0,0,0
69,0.181650126,0.435456216,0.215319413,0.40700743,0.389294404,0.387063697,0.122290292,0.098850012,0.905405405,0.40068336
70,0.180138909,0.398770744,0.219479546,0.391436976,0.353336734,0.347707489,0,0,0,0
71,0.172756175,0.435547252,0.223584263,0.401684261,0.361846539,0,0,0,0,0
72,0,0.433616188,0.212900859,0.417928599,0,0.381800674,0,0,0,0
73,0,0.41677683,0.22032808,0.464606366,0.385061471,0.420743451,0,0,0,0
74,0,0.414436143,0.220948516,0.399590575,0.394208225,0.42854171,0,0,0,0
75,0,0.41644784,0.217769296,0,0.357075583,0,0,0,0,0
76,0,0.441941416,0.220073518,0,0,0.444722892,0,0,0,0
77,0,0,0.224125013,0.293506263,0.36804892,0.414259928,0,0,0,0
78,0,0.439958049,0.218871289,0.417148931,0.401235712,0.466051873,0,0,0,0
79,0,0.352247191,0.371971613,0.346310742,0.383196106,0.386250762,0,0,0,0
80,0,0.421088857,0.215616452,0.391247002,0.362765957,0.401738355,0,0,0,0
81,0,0,0.219190095,0.408998355,0.339523295,0,0,0,0,0
82,0,0.412957531,0.215106995,0.400573655,0.359626437,0.376035463,0.290880312,0.443522655,0.447491783,0.412658609
83,0,0.436393336,0.223378407,0.411409127,0.20217239,0.427564911,0,0,0,0
84,0,0.431585174,0.246951595,0.397094335,0.354958078,0.439855709,0,0,0,0
85,0,0.439624474,0.21682018,0.392574871,0.378119779,0,0,0,0,0
86,0.211719397,0,0.211072485,0.338848836,0,0,0,0,0,0
87,0,0,0.220500214,0.40571406,0,0,0,0,0,0
88,0,0,0.215760551,0.442506546,0,0,0,0,0,0
89,0,0,0.225061609,0,0,0,0,0,0,0
90,0,0,0.213907389,0.404976508,0.712230216,0,0,0,0,0
91,0,0,0.21859545,0.420410156,0,0,0,0,0,0
92,0,0,0.30523826,0.404631982,0,0,0,0,0,0
93,0,0,0,0,0.258241758,0,0,0,0,0
94,0,0,0,0,0.269421861,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0.272071624,0,0,0,0,0
97,0,0,0,0,0.259102077,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0.268511593,0,0,0,0,0
102,0,0,0,0,0.282221695,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0.232604374,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0.238776517,0,0,0,0,0
108,0,0,0,0,0.322555812,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0.30742913,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0.327802916,0,0,0,0,0
119,0,0,0,0,0.334535835,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0.291901647,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0.293177481,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0.232725405,0,0,0,0,0
128,0,0,0,0,0.254383798,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0.271829916,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0.278658397,0,0,0,0,0
135,0,0,0,0,0.274122807,0,0,0,0,0
136,0,0,0,0,0.283645276,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0.300958628,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0.251329145,0,0,0,0,0
141,0,0,0,0,0.272237197,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0.254601227,0.393145655,0.420316544,0.412938816
146,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0.772068511,0.484375,0.343908817
148,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0.519192839,0.320650294
168,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0
179,0.175710721,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0
205,0,0,0.139047077,0,0,0,0,0,0,0
206,0,0,0.145035998,0.41569756,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0
